panel_id,subfigure,model_id,display_name,faulting_style,prediction_type,statistical_distribution,percentile,mw_validity_min,mw_validity_max,xL_validity_min,xL_validity_max,framework_class_path,source_citation,source_doi,exclusion_reason
h,B,lav2023_reverse,Lavrentiadis and Abrahamson (2023),reverse,absolute_cm,aggregate-primary,50,5.0,8.5,0.0,0.5,openquake.fdha.primary_surf_displ.lavrentiadis2023.Lavrentiadis2023PrimaryFD,"Lavrentiadis, G., & Abrahamson, N. A. (2023). A non-ergodic spectral acceleration ground motion model for California developed with random vibration theory. Bulletin of Earthquake Engineering, 21, 5265-5291.",10.1007/s10518-023-01773-0,
h,B,kuehn2024_reverse,Kuehn et al. (2024),reverse,absolute_cm,aggregate,50,5.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.kuehn2024.kuehn2024.Kuehn2024PrimaryFD,"Kuehn, N. M., Kottke, A. R., Sarmiento, A. C., Madugo, C. M., & Bozorgnia, Y. (2024). A fault displacement model based on the FDHI database. Earthquake Spectra.",10.1177/87552930241291077,
i,B,petersen2011_bilinear,"Petersen et al. (2011), Bilinear",strike-slip,absolute_cm,single-principal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_bilinear,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
i,B,petersen2011_elliptical,"Petersen et al. (2011), Elliptical",strike-slip,absolute_cm,single-principal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_elliptical,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
i,B,petersen2011_quadratic,"Petersen et al. (2011), Quadratic",strike-slip,absolute_cm,single-principal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_quadratic,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
i,B,lav2023_strikeslip,Lavrentiadis and Abrahamson (2023),strike-slip,absolute_cm,aggregate-primary,50,5.0,8.5,0.0,0.5,openquake.fdha.primary_surf_displ.lavrentiadis2023.Lavrentiadis2023PrimaryFD,"Lavrentiadis, G., & Abrahamson, N. A. (2023). A non-ergodic spectral acceleration ground motion model for California developed with random vibration theory. Bulletin of Earthquake Engineering, 21, 5265-5291.",10.1007/s10518-023-01773-0,
i,B,chiou2025_ss,Chiou et al. (2025),strike-slip,absolute_cm,sum-of-principal,50,6.0,8.3,0.0,0.5,openquake.fdha.primary_surf_displ.chiou2025.Chiou2025PrimaryFD,"Chiou, B. S. J., Chen, R., Thomas, K., Milliner, C., Dawson, T., & Petersen, M. (2025). Fault displacement model for surface principal rupture of strike-slip faults. Earthquake Spectra.",10.1177/87552930251337703,
i,B,kuehn2024_strikeslip,Kuehn et al. (2024),strike-slip,absolute_cm,aggregate,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.kuehn2024.kuehn2024.Kuehn2024PrimaryFD,"Kuehn, N. M., Kottke, A. R., Sarmiento, A. C., Madugo, C. M., & Bozorgnia, Y. (2024). A fault displacement model based on the FDHI database. Earthquake Spectra.",10.1177/87552930241291077,
c,A,petersen2011_bilinear_md,"Petersen et al. (2011), Bilinear",strike-slip,D/MD,(not source-defined),50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_bilinear,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,Petersen et al. (2011) source publication publishes ln(D) and ln(D/AD) formulations (Eqs. 7-17) but NOT ln(D/MD); no source-defined D/MD distribution exists.
c,A,petersen2011_elliptical_md,"Petersen et al. (2011), Elliptical",strike-slip,D/MD,(not source-defined),50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_elliptical,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,Petersen et al. (2011) source publication publishes ln(D) and ln(D/AD) formulations (Eqs. 7-17) but NOT ln(D/MD); no source-defined D/MD distribution exists.
c,A,petersen2011_quadratic_md,"Petersen et al. (2011), Quadratic",strike-slip,D/MD,(not source-defined),50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_quadratic,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,Petersen et al. (2011) source publication publishes ln(D) and ln(D/AD) formulations (Eqs. 7-17) but NOT ln(D/MD); no source-defined D/MD distribution exists.
